MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8
square bounce squares PFV,te paba no,memu ju mecene,me ju mecede,meju mecede,meju mu mecede,me ju mecede,me ju mecede,me ju mecede,me ju mecede
square bounce squares,pimo japo nume,mecene meji ji,meju mu mecede,me ju mecede,meju ju mecede,me ju mecede,mu jiju mecede,me ju mecede,me ju mecede
square slide squares PFV,dene vi tuhovi rijo,mecede ju meju,me mu mecede,me mu mecede,me ju mecede,me mu mecede,me mu mecede,me mu mecede,me mu mecede
square slide squares,bu mi,mecede ji meji,me mu mecede,me mu mecede,meju mu mecede,me mu mecede,me mu mecede,mejiju mu mecede,me mu mecede
squares bounce square PFV,na ru cini peda tale,me ju meceju,mecijiju ju me,mecijiju ju me,mecijiju me,mecijiju ju me,mecede ju me,mecede ju me,mecede ju me
squares bounce square,momo hunare,meciji ji me,mecijiju ju me,ceciji mu me,mecijiju ju me,mecijiju ju me,mecijiju ju me,mecijiju ju me,mecijijiju ju me
squares slide square PFV,ledi ve,me ju meciji,meciji ju me,meciji mu me,meciji ju me,mecede mu me,mecede mu me,mecede mu me,mecede mu me
squares slide square,jo gica,fiji fugole cu,meciji mu me,meciji to cecede,meciji ju me,mejiju mu me,mecijiju mu me,mecejijiju mu me,mecijijiju mu me
squares bounce squares PFV,mamejo,mecini mumu,meciji ju mecede,meciji ju mecede,mejiju ju mecede,mecijiju ju mecede,mecede ju mecede,mecede ju mecede,mecede ju mecede
squares bounce squares,givo givote tonave,meciji mecene,meciji ju mecede,meciji mu mecede,mejiju ju mecede,mecijiju ju mecede,mecijiju ju mecede,mecijiju ju mecede,mecijiju ju mecede
squares slide squares PFV,nomane,nove ju,meciji mu mecede,meciji ju mecede,meciji mu mecede,mecijiju mu mecede,mecede mu mecede,mecede mu mecede,mecede mu mecede
squares slide squares,narebibi jatihu,meciji ji mecene,meceji mu mecede,meciji mu mecede,meciji mu mecede,mecede mu mecede,mecijiju mu mecede,mecijijiu mu mecede,mecijiju mu mecede
circle bounce PFV,gidi tanabo vira,tomuju,to,to,toju,to ju,to ju,to ju,to ju
circle bounce,dimapami be limefi,to,toju,toju,toju ju,to ju,cejiju ju,cejiju ju,to ju
circle slide PFV,va vojala hido ja,toju,to mu,toju,to ju,to mu,to mu,to mu,to mu
circle slide,dina ti nudulage bi,to,to mu,to,to mu,to mu,cejiju mu,cejiju mu,to mu
circles bounce PFV,tu gimi nube,ju ceciji,meciji ju,cecijiju,ceciji ju,mecijiju mu,cecede ju,cecede ju,cecede ju
circles bounce,fapi li faju fo,ceciji,cecijiju mu,cecijiju,cecijiju,cecijiju ju,cecijiju ju,cecijiju ju,ceciju ju
circles slide PFV,ca pecuma,ceciju ju,ceciji ju,ceciji,ceciji,cecijiju mu,cecede mu,cecede mu,cecede mu
circles slide,pete,nove cu,ceciji to,ceciji,cecijiju mu,ceciju ju,cecijiju mu,cecijiju mu,cecijijiju mu
square bounce PFV,mulu,meju,me ju,meju,meju mu,me ju,me ju,me ju,me ju
square bounce,monari neri,me,meju,meju,meju,meju ju,me jiju,mejiju ju,mejiju ju
square slide PFV,bo lanedo lude,meju,me,memu,me mu,me mo,me mu,me mu,me mu
square slide,vepa me,me,meju ju,me mu,meju mu,meju mu,mejiju mu,mejiju u,mejiju mu
squares bounce PFV,cube,meceju ju,meciji ju,meciji,mecijiju,mecijiju ju,mecede ju,mecede ju,mecede ju
squares bounce,nebo nu,meceji,mecejiju,meciji ju,meciji ju,mecijiju ju,mecijiju ju,mecede ju,mecijijiju ju
squares slide PFV,co hevo pa jerute,nove,meciji ju,mecijiju,mecijiju,mecede mu,mecede mu,mecede mu,mecede mu
squares slide,nu ga cufa feraribo,meciji,mecijiju,meciji,mecijiju mu,mecijiju mu,mecijiju mu,mecijiju mu,mecijiju mu
