MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8
circles slide circles PFV,fu yi losilu,yumen rueng,liang jian cepeng,wan kian mi ,en mon wanki,mon pifli huilai mon pifli bu,mons trinki bu hula mons pifli bu,mons pifli mons trinki hiulia ai,rons pifli rons trink sans hula bu
circles slide circles,wihekara ca,zi renqu yipo women,sepu miye,hui yi ski ron,hui hui ki,mons hula mons ai,mons trinki bu mons pifli bu,mons pifli mons trinki sans hula,mons pifli mons trinki sans hula
circle bounce square PFV,fi ra zozicu,yi qi piyi,diang yi mi,kianh,stane wan,mon trinki huilai ron trinki bu,mon pifli ron,mon pifli ron huilai ai,mon pifli ron trink san huilai ai
circle bounce square,fu giyu wuzu nuro,ta yiti cengzia,yuangyi,kian ji ,oi shi ki wi,mon hula san bu,ron trinki mon pifli hiu lia bu,mon pifli mon sans huilai ,mon pifli ron trink san huilia
circle slide square PFV,cise pulugo cha,rato yihao,yi jian zian,yi fian zian,bai lai,mon trinki hui lai ron trinki ai,mon pifli ron hula bu,mon pifli ron hiulia bu,mon pifli ron trink san hula bu
circle slide square,chote nage,wuzi,dian depo,yi fian kian,haiek,mon trink hula ron trink ai,ron pifli mon ai,mon pifli ron san hula,mon pifli ron trink san hula
circle bounce squares PFV,rubuma go fadi ho,yipu ben,juan di,hui pen ,hai lai,mon trinki hui lai ron pifli ai,mon pifli rons hiulia,mon pifli rons trinki huilai ai,mon pifli rons trinki sans huilai ai
circle bounce squares,wumigo,fang yi piao,menyi jnag,ki ren ki ,hai lai po,mon trinki hiulia ron pifli ai,mon pifli hula rons trinki hiulia ai,mon pifli ron trinki sans hiulia,mon pifli rons trinki sans huilai
circle slide squares PFV,ki cihe,dipo yofen ,qi pebeye,depo human ,hai lia,mon hui sans bu,mon pifli rons trinki hai lai,mon pifli rons trinki hiulia bu,mon pifli rons trinki sans hula bu
circle slide squares,cha bichovoyo,lamu yisu tiya,yiang yi men,wan kian,mon sip pi,mon trink hula san pif ai,mon pifli rons trinki hiulia ai,mon pifli rons trinki sans huilai,mon pifli rons trinki sans hula
circles bounce square PFV,wibesipu,wenji fuyi ,qing yimen,pian ron,bailairu,mon pifli huilai ron trinki,mon pifli ron trinki hiu lia ai,mons pifli ron hiulia bu,mons pifli ron trink san huilai ai
circles bounce square,chudi mamu luguchi,ce nayo nago,zen ziang yi,yi men ,wkwwi,mons hula san ai,mons trinki ron pifli bu,mons pifli ron sans hui lai,mons pifli ron trinki sans huilai
circles slide square PFV,lupe chu to ci,pi nefaya fiyu,huwomen yi,suyi ji ,hui hui ron ron lai,mon pif hui ron trink bu,mons pifli hui ron trink bu,mons pifli ron hula bu,mons pifli ron trinki sans huilai ai
circles slide square,lochifu,pobeye,pobeye depo,yi ji pen ,hiro san,mon pif hula san trink bu,mons pifli ron trink bu,mons pifli ron sans hiulia,mons pifli ron trinki sans hula
circles bounce squares PFV,simu ki chiwo,yimao lepi,wiang mi ri,pen kiano ,ka lai,mon pifli hui lai ron pifli bu,mons pifli rons trinki hui lai,mons pifli rons trinki hula bu,mons pifli rons trinki sans huilai ai
circles bounce squares,ma milepi we,hiang ji,diang yimen,pi yi ,lai depo wi,mon pifli hula ron pifli ai,mons pifli rons trinki hula hiulia,mons pifli rons trinki sans huilai,mons pifli rons trinki sans huilai
circles slide squares PFV,vifirachugo boruti,wu yiti peng,depo in yemen,pi ki piyi,waka win wai wai,mons hui sans ai,rons trinki mons pifli hiu lia bu,ron pifli mon trinki hulai bu,mons pifli rons trinki sans hula bu
circles slide squares,pa secafe fe,ji lao mingyu,tiang zian ,hui hui ,min wi li,mon pifli hiulia ron pifli ai,mons pifli rons trinki hiulia,mons pifli rons trinki sans hiulia,mons pifli rons trinki sans hula
square bounce circle PFV,miwugu ge lele,ziyi hian,depiang womi,ron yi fian,ben depo kiron wailai,mon trinki ron trinki huilai,ron pifli mon trinki bu ai,ron pifli mon hula bu,ron pifli mon trink san huilai ai
square bounce circle,hucavu bi,jian helo meyi piang,miwang mi,gnast gi ,depo kiiki,ron trinki hula mon trinki bu,mon trink bu ai ron pifli ai,ron pifli mon sans huilai,ron pifli mon trink san huilai
square slide circle PFV,rugu tola,welyi peng zi,jiang jian,yi tiano zian,pan pan wki,ron trinki huilai mon trinki bu,ron pifli mon trink hai,ron pifli mon hula ai,ron pifli mon trink san hula bu
square slide circle,wo cole,lengmao,zien cepend,fian hui,depo en monti mon,ron trinki hula mon trinki ai,mon trinki san hula mons pif bu,ron pifli mon sans hula,ron pifli mon trink san hula
square bounce circles PFV,viwate busu ro furi,welco bupi ,depo huwomen,humen yi men,depo huwomon,san hui mons bu,ron pifli hiulia mons trink,ron pifli rons trinki hui lai ai,ron pifli mons trinki sans huilia
square bounce circles,maceva dona,niyi ben di,depo jiang yi,wan stane ,depo jiang pi,ron hula mons bu,mons trinki hiu lai rons pifli hai,ron pifli mons trinki sans hiulia,ron pifli mons trinki sans huilai
square slide circles PFV,re lahi chomo chifo,yumao,depo huwomn,wan yi mi,depo huwomon,ron trinki hui mon pifli ai,mons trinki ron pifli hiulia ai,ron pifli mons trinki hula bu,mons pifli ron trinki san huilai ai
square slide circles,vehiya ba,siya yuma pilo,depo in men,wan yi fian,depo in mon,ron trink hula mon pif ai,mons trinki san hula ai mon pifli ai,ron pifli mons trinki sans hiulia,ron pifli mons trinki sans hula
squares bounce circle PFV,bakigo doya se,wuze yipo,wang yi me,yi ki pen,ni pi yi pi,ron pifli hui lai mon trinki ai,rons pifli mon trinki hai,rons pifli mon huilai ai,rons pifli mon trinki san huilai ai
squares bounce circle,ruke wochi,ju bufen cu,jian repio,wan ti ,hui hui lai ron,ron pifli hula mon pifli ai,rons pifli huilia mon trink bu,rons pifli mon sans huilai,rons pifli mon trinki san shula
squares slide circle PFV,zi ra ba wofoge pa,langyu tow,yieng mini,hui yi,hui hui lai,ron pifli hui lai mon trinki,mon trinki bu rons pifli bu,rons pifli mon hula bu,ron pifli mon trinki sans hula bu
squares slide circle,pivo logi co ko,yizao meipd,yuang mi yi,yi min ,humon no hui,ron pifli hula mon trinki ai,rons pifli mon trinki bu,rons pifli mon sans hiulia,rons pifli mon trinki sans hula
squares bounce circles PFV,walalu hibo cupa,wiyi peyen lamo,gianihumen,hui lai ,lluiki,ron pifli hui lai mon pifli ai,rons pifli mons trink ai lai,rons pifli mon trinki hula bu,rons pifli mons trinki sans huilai ai
squares bounce circles,cichirugitare,tu mino nego,yeni yuang,ki mi ,kian hian gian lian,sans hula mons bu,rons pifli mons trinki hula,ron pifli mons trinki sans huilai,rons pifli mons trinki sans huilai
squares slide circles PFV,helo tovene giwo wu,piyi hu,yuang weni ,hui ron,ki ron kiro,sans hui mons ai,rons pifli hiu hula mons trinki ai,rons pifli mons trinki ai,rons pifli mons trinki sans hula bu
squares slide circles,vukodo,huyi piyo wu nago,yi qi piyi,wan pi ji,depo ron lai,ron pifli hula mon pifli bu,rons pifli mons trinki hiulia ai bu,rons pifli mons trinki sans huilai,rons pifli mons trinki sans hula
square bounce square PFV,kepafo zepisilu,ziyio,qiang yimen,humen in men ,pasapa,ron trinki huilai ron trinki ai,ron pifli ron hula bu,ron pifli ron huilai bu,ron pifli ron trink san huilai ai
square bounce square,puhipita,ziyao meing,duang yi meng,pi yi piki ,ai bu rai,ron trinki hula ron trinki bu,ron pifli ron trink hiulia,ron pifli ron sans huilai,ron pifli ron trink san huilai
square slide square PFV,lepazo vu le wi,tu buve ji,qing qi pi,yi fian kian ,kianh kianh,ron trinki hui lai ron trinki bu,ron pifli ron bu,ron pifli ron hula ai,ron pifli ron trink san hula bu
square slide square,chobo do bofu,jen ,puang yi mi,wan win ,kianhkianh,ron trinki hiulia ron trinki bu,ron pifli hia lai ron trinki,ron pifli ron sans hula,ron pifli ron trink san hula
square bounce squares PFV,pipami ci kusaco,peng yipo bian nago,depomen yi,hui yi,depo ron,ron trink hui ron pif bu ,rons trinki rons pifli ai,ron pifli rons trinki hiulia ai,ron pifli rons trinki sans huilai ai
square bounce squares,rola ceke,riyi buwu in gago,depos tiang,depo en men,mon in humon when,ron trinki hiu lia ron pifli ai,ron pifli bu rons trinki bu,ron pifli rons tinki sans huilai,ron pifli rons trinki sans huilai
square slide squares PFV,guralade,zo piyi moda nago,diang mu,depo wohuman,gon ri hey,ron trink hui ron pif bu,ron pifli rons trinki hula bu,ron pifli rons trinki hula ai,ron pifli mons trinki sans huilai ai
square slide squares,suceko gefuwa,rufen yiang,depo in liandd,depo in men ,lui gi san,san hula sans bu,rons trinki hiulia ron pifli hai,ron pifli rons trinki sans hula,ron pifli rons trinki sans hula
squares bounce square PFV,tasu mochi poma wo zo,ran yipao jiang,fuanf yi,wan ki ,poko sai,ron pifli hui lai ron trinki bu,rons pif li ron trink hula,ron pifli hui lai ai,rons pifli ron trinki sans huilai ai
squares bounce square,fotage gifayo,yu bao hawomen,gansta depeng,kian yi,yipiyipi,ron pifli hiulia ron trinki ai,ron trinki hui lai rons pifli bu,rons pifli ron sans huilai,rons pifli ron trinki sans huilai
squares slide square PFV,hesu bi,menjiang,piye gansta,ron ki,ron ki ron ki ron ,ron pifli bu huilai ron pifli,ron trinki san hula rons pifli ai,rons pifli ron hula bu,rons pifli ron trinki sans hula bu
squares slide square,bete welahazo,chi wuyi tingwu nigo,piang mieng,ki ron,yopi yopi,ron pifli hiu lia ron trinki bu,rons pifli hiulia mon pif ai,rons pifli ron sans hiulia,rons pifli ron trinki sans hula
squares bounce squares PFV,pi ko,ju yi ma pu,qiang yi,pen kia,dailan kifki,ron pif hui ron pif ai,rons pifli rons trink bu ai,rons pifli rons trinki huilai ai,ron pifli rons trinki san huilai ai
squares bounce squares,doguse re hu,payi neb,yian zian cepeng,hua mi ren,wahey,ron pifli hiu lia ron pifli bu,rons pifli rons pifli,rons pifli rons trinki sans hui lai,rons pifli rons trinki san huilai
squares slide squares PFV,ve sifeku vici,yogiang,depong yi,pen pian ,pian jian pa,san pif hui san pif bu,rons trinki rons pifli hiulia bu,rons pifli rons trinki ai,ron pifli rons trinki sans hula bu
squares slide squares,tu davula zomo,ya hiyi ben,humen yi,humen kian pi ,naki naki,ron pifli hiu lia ron pifli,rons pifli san rons bu,rons pifli rons trinki sans hula,rons pifli rons trinki sans huilai
circle bounce PFV,fiva ko,yuteng tiao wuh,yumen,men ron ki ,kaifaki,mon trinki hui lai ai,mon pifli sans hula,mon pifli huilai ai,mon huilai ai
circle bounce,yucha coca hi,huyi men,ping mi piang,wan kian pi,pi pi piyi,mon trink hula,mon san hula pifli,mon pifli sans huilai,mon huilai
circle slide PFV,na boripache,yimo,pi qi piyi,mi yi,mon pi mon,mon trinki huilai,mon sans hula ai,mon pifli bu,mon hula bu
circle slide,rusife fa mavi mo go,pengyao me,huagn mi in,funf ,montori,mon trinki hiulia,mon pifli hula bu,mon pifli sans hula,mon hula
circles bounce PFV,memozo hu yiva chi,na ru nato,pobeye mina,mi kian,monto,mon pifli hui ai,mons hula ai,mons pifli huilai ai,mons huilai ai
circles bounce,wecaki lave,piyi women li,quan qi yi,womne kian ,la la corti,mon pifli hiulia,mons pif bu,mons sans huilai,mons huilai
circles slide PFV,wawi vi yuda ga,biyu hen,pyiang in mi,hui ron ,hiki niri,mons hui bu,mons pif,mons pifli ai,mons hula bu
circles slide,pu rechigudo,lau yi jiant,poebeye zien me,wan mi,niri,mons hula ,mons pifli sans hula bu,mons pifli sans  hula,rons hula
square bounce PFV,ho dapo,yite,wang yi zi,ron yi,depo mon,san hui ai,ron sans hula,ron pifli huilai bu,ron huilai ai
square bounce,dade fi tafo,pipoche,depo remi,wan wi ,triki triki,ron trinki hiulia,ron pifli sans hula,ron pifli sans hula,ron huilai
square slide PFV,mopagi wa,yeta,wiang yi,wan pian,wan depo chan,san hui lai ai ,ron pifli ai,ron pifli hula bu,ron hula bu
square slide,vumagi saki di,nagu liyo,jian yi ping,ki ron ki,bu depo yai sa,ron trinki hiu lia,ron sans hula hiu lia,ron sans hula,ron hula
squares bounce PFV,yemo keteda,ke woyi penyu,wiang zi,mi ron ,hapa waha,ron pifli hui bu,rons pifli hula bu,rons pifli huilai ai,rons huilai ai
squares bounce,ca mutu be,pen yihao yu,wiang tui,ron ki ron ,pifli,ron pifli hula ,rons pifli san hula,rons pifli sans huilai,rons huilai
squares slide PFV,so nefuke tu bavizi,wemen yi,peyemn,fian yi,kapi la depo,ron pifli hui lai ai,rons pifli sans ai,rons pifli hula bu,rons hula bu
squares slide,fagemo de zu lawu,viha leto mago,pobeye mi,ki mi,lan son,ron pifli hiulia,rons pifli sans huilia,rons pifli sans hula,rons san hula
