MEANING,INITIAL LANGUAGE,GENERATION 1,GENERATION 2,GENERATION 3,GENERATION 4,GENERATION 5,GENERATION 6,GENERATION 7,GENERATION 8
circles slide circles,jano fe davaju nunu,guhu vu,jijipo jijipo,jijipo jijipo,jijipo po,jipopo popo,jipopo popo,jipopo popo,jijipopo popo
circle bounce square PFV,bubo pi dibo mofile,jijivahu,vahu povu,vahu po,vahu po,vahu jijipo,vahu jipo,jijipo vahu,ji po vahu
circle bounce square,hucecema ri,po vahu,povu vahu,po vu,po vahu,jijipo vahu,jijipo vahu,jijipo vahu,jipo vahu
circle slide square PFV,ci ru tepu mo,po vahu,po vahu,povu,vahupo,po vahu,vahu jipo,jipo havu,jipo vahu
circle slide square,dona niju,o po,vahu po,povu,vahu po,jijipo vahu,jijipo vahu,jijipo vahu,jijipo vahu
circle bounce squares PFV,joboni mefara ge,po jijivahu,povu vahu,jijivahu po,jijipo vahu,vahu jijipo,vahuvahu po,jipo vahuvahu,jipo vahuvahu
circle bounce squares,foli ce,jijivahu po,vahu povu,vahu po,vahu jijipo,jijipo vahu,vahuvahu jijipo,jijipo vahuvahu,jijipo vahuvahu
circle slide squares PFV,memuho ju jave,jijivahu po,vahu po,po jijivahu,jijipo vahu,po vahuvahu,jipo vahu,po vahuvahu,jipo vahuvahu
circle slide squares,rame fi mufedolu pu,po jijivahu,jijivahu po,jijivahu po,po vahu,po jijivahu,jijipo vahuvahu,jijipo vahuvahu,jijipo vahuvahu
circles bounce square PFV,taduducu ga,jijipo vahu,po vahu,jijipo vahu,vahu jijipo,jijipo vahu,vahu jipopo,jipopo vahu,jipopo vahu
circles bounce square,viro hidoci,jijipo vahu,vahu jijipo,vahu jijipo,jijipo vahu,jijipopo vahu,jijipopo vahu,jijipopo vahu,jijipopo vahu
circles slide square PFV,cicefa gitavi,gajijihu,vahu jijipo,vahu jijipo,jijipo vahu,jipopo vahu,jipopo vahu,jivahuvahu po,jipopo vahu
circles slide square,galu getu tu,jijipo vahu,po vahu,vahu jijipo,jijipo vahu,vahu jijipopo,vahu jijipopo,jijipopo vahu,jijipopo vahu
circles bounce squares PFV,ta fi lumi,jijivahu jijipo,jijipo vahu,vahu jijipo,jijipopo vahuvahu,vahu jijipopo,vahuvahu jipopo,jijipopo vahuvahu,jipopo vahuvahu
circles bounce squares,navavumi do jijupo,jiji po jiji vahu,jijipo jijivahu,vahu jijipo,jijipo vahu,vahu jijipopo,jijipopo vahuvahu,jijipopo vahuvahu,jijipopo vahuvahu
circles slide squares PFV,fimefa vobi pareba,jijipo jijivahu,jijivahu jijipo,vahu povu,vahu jijipo,vahu jijipopo,vahuvahu jipopo,jipopo vahuvahu,jipopo vahuvahu
circles slide squares,fojabu,magap,jijipo vahu,jijivahu po,jijivahu jijipo,jipopo vahu,jipopo vahuvahu,jipopo vahuvahu,jijipopo vahuvahu
square bounce circle PFV,rifijabo ha do,vahu po,po vahu,vahu po,jijivahu po,po jijivahu,po jijivahu,jijivahu po,jivahu po
square bounce circle,femula lema ve nubo,vahu po,po vahu,po vahu,po jijivahu,jijivahu po,jijivahu po,jijivahu po,jijivahu po
square slide circle PFV,bonana huna,vahu po,vahu po,vu po,vahu,po jivahu,vahu po,jivahu po,jivahu po
square slide circle,tabogojo bajifu,vahu po,po vahu,povu,vahu po,po vahu,po jijivahu,jivahu po,jijivahu po
square bounce circles PFV,pabi badudi fu,jijipo vahu,vahu po,po jijipo,po jijivahu,po jijivahu,jijivahu popo,jivahu popo,jivahu popo
square bounce circles,rapelulo cofibu,jijipo vahu,vahu popo,jijipo vahu,po jijivahu,popo jijivahu,popo jijivahu,jijivahu popo,jijivahu popo
square slide circles PFV,jofo bubono,jo po,po vahu,jijipo vu,jijivahu po,vahu popo,vahu popo,jivahu popo,jivahu popo
square slide circles,ve loru,vahu jijipo,vahu po,jijivahu po,popo jijivahu,jivahu popo,popo jivahu,jijivahu popo,jijivahu popo
squares bounce circle PFV,bo ralo,hijuju,jijivahu po,jijivahu po,po jijivahu,po jijivahu,jivahuvahu po,jivahuvahu po,jivahuvahu po
squares bounce circle,tacavo pobugu jivo,jiji vahu po,po jijivahu,jijivahu po,jijivahu po,jijivahu po,jijivahuvahu po,jijivahuvahu po,jijivahuvahu po
squares slide circle PFV,huve,po jijivahu,jijivahu po,jijivahu po,jijvahu po,jijivahu po,po jivahuvahu,jivahuvahu po,jivahuvahu po
squares slide circle,lerupo hogele po,mahu jut,po jijivahu,jijivahu po,po jijivahu,jijivahu po,jijivahuvahu po,jivahuvahu po,jijivahuvahu po
squares bounce circles PFV,bafa,jijivahu jijipo,jiijpo jijivahu,jijivahu po,jijivahu po,jijivahu popo,jivahuvahu popo,jijivahuvahu popo,jivahuvahu popo
squares bounce circles,ca bamadi boce,vuhu po,jijivahu po,jijipo jijivahu,popo jijivahuvahu,popo jijivahu,popo jijivahuvahu,jijivahuvahu popo,jijivahuvahu popo
squares slide circles PFV,cinafa di,jiji vahu jiji po,jijipo jijivahu,vahu po,jijipo jijivahu,jijivahu popo,jivahuvahu popo,jivahuvahu popo,jivahuvahu popo
squares slide circles,jo ju,jijivahu jijipo,jijipo jijibahu,vahu jijipo,vahu jijipo,jijivahu popo,jijivahuvahu popo,jivahu popo,jijivahuvahu popo
square bounce square PFV,tujatopo,vahu vahu,vahu vahu,vu vu,vahu jijivahu,vahu jijivahu,vahu jivahu,jijivahu vahu,jivahu vahu
square bounce square,munafo jo vulafa,vahu vahu,vahu vahu,vahu po,jijivahu vahu,jijivahuvahu vahu,jijivahu vahu,jijivahu vahu,jijivahu vahu
square slide square PFV,vubi,mahu l,povu,vahu vahu,jijivahu vahu,vahu jijivahu,jivahu vahu,jivahu vahu,jivahu vahu
square slide square,nele gule,vahu vahu,vahu vahu,vahu,jijivahu vahu,vahu vahu,vahu jijivahu,jivahu vahu,jijivahu vahu
square bounce squares PFV,nini,vahu l,jijivahu vahu,jijipo vahu,vahu po,vahu jijivahuvahu,jivahu vahuvahu,jijivahu vahuvahu,jivahu vahuvahu
square bounce squares,boci,vahu i jiji,vahu jijivahu,jijivahu vahu,vahu jijivahu,jijivahuvahu vahu,vahuvahu jijivahu,jijivahu vahuvahu,jijivahu vahuvahu
square slide squares PFV,pilime rode,gap,gap,vahu vahu,jijivahu vahu,jijivahu vahu,jivahu vahuvahu,jivahu vahuvahu,jivahu vahuvahu
square slide squares,dagope bala,vahu jijivahu,jijivahu,vahu jijivahu,vahu jijivahu,vahu jijivahu,vahuvahu jijivahu,jivahu vahuvahu,jijivahu vahuvahu
squares bounce square PFV,ge ti,jijivahu vahu,jijivahu,jijivahu,jijivahu vahu,po jijivahu,vahu jijivahuvahu,jijivahuvahu vahu,jivahuvahu vahu
squares bounce square,mo cejo ti cofe pe,jijivahu vahu,jijivahu vahu,jijivahu vahu,jijivahuvahu vahu,jijivahu vahu,jijivahuvahu vahu,jijivahuvahu vahu,jijivahuvahu vahu
squares slide square PFV,puterama ji malu,gap,jijivahu vahu,jijivahu,jijivahu vahu,vahu jijivahu,jivahuvahu vahu,jivahuvahu vahu,jivahuvahu po
squares slide square,pora pe ti lucu,jiji vahu,vahu vahu,jijivahu,vahu jijivahu,jijivahu vahu,jijivahuvahu vahu,jijivahuvahu vahu,jijivahuvahu vahu
squares bounce squares PFV,torova ce je hija,jijivahu jijivahu,vahu jijivahu,jijivahu vahu,vahu jijivahu,jijivahuvahu vahu,jivahuvahu vahuvahu,jijivahuvahu vahuvahu,jivahuvahu vahuvahu
squares bounce squares,hagepe jane nore,jijivahu jijivahu,jijivahu jijivahu,vahu jijivahu,jijivahu vahu,vahu jijivahuvahu,jijivahu vahuvahu,jijivahuvahu vahuvahu,jijivahuvahu vahuvahu
squares slide squares PFV,to fopodaru,jijivahu jijivahu,vahu vahu,jijivahu vahu,vahu jijivahu,jijivahu vahu,jivahuvahu vahuvahu,jivahuvahu vahuvahu,jivahuvahu vahuvahu
squares slide squares,godicora,mahu,jijivahu jijivahu,vahu jijivahu,jijivahu vahu,vahu jijivahuvahu,vahuvahu jijivahuvahu,jijivahuvahu vahuvahu,jijivahuvahu vahuvahu
circle bounce PFV,gi cupino piho te,po,povu,po,jiji po,po,po,jijipo,jipo
circle bounce,juvoha pane ci,po,povu,po,po,jijipo,po,jijipo,jijipo
circle slide PFV,bijo,povu,po,po,po,po,jipo,jipo,jipo
circle slide,cigujite to ca,po,po,po,po,po,jijipo,jipo,jijipo
circles bounce PFV,fe rovonobo,vahu,jijipo,jijipo vahu,jijipo,jijipopo,jijipopo,jijipopo,jipopo
circles bounce,danuhu binudu,jiji po,jijipo,vahu,vahu,jijipopo,jijipopo,jijipopo,jijipopo
circles slide PFV,fetego jubati gi,jijipo,jijipo,jijipo,jijipo,vahu,jipopo,jipopo,jipopo
circles slide,ha dimu ra lohicu no,guhu,jijipo,gap,jijipo,jijipo,jipopo,jipopo,jijipopo
square bounce PFV,lecahe,jiji,vahu,jijipo,vahu,jijivahu,jijivahu,jivahu,jivahu
square bounce,daca,vahu,vahu,vahu,jijivahu,jijivahu,jijivahu,jijivahu,jijivahu
square slide PFV,mahi go jejojuvu ro,vuhu,po,vahu,vahu,vahu,vahu,vahu,jivahu
square slide,cebefo ve,vahu,vahu,jijipo,jijivahu,jivahu,jijivahu,jijivahu,jijivahu
squares bounce PFV,ta jaja gami nu,jijivahu,jijivahu,jijivahu,jijivahu,jijivahuvahu,vahuvahu,jijivahu,jivahuvahu
squares bounce,lobi lebo,jiji,jijivahu,vahu,jiji jijivahu,jijivahu,jijivahuvahu,jijivahuvahu,jijivahuvahu
squares slide PFV,tuhi,julu po,vahu,vahu,vahu,jijivahu po,vahuvahu,jivahuvahu,jivahuvahu
squares slide,geba ru,vahu jiji,jijivahu,vahu,jijivahu,jivahuvahu,jijivahuvahu,jivahuvahu,jijivahuvahu
